tissue,sex,ets_mean,ets_se,ets_n_sig,ets_n,buf_mean,buf_se,buf_n_sig,buf_n,sex_label
ADRNL,female,-0.7103134808193685,0.07332919411005795,1,32,-0.0170217761418971,0.0745178742888747,0,14,Female
ADRNL,male,0.10195346710524873,0.01887291592154238,0,32,0.07759533113564476,0.03348632013735319,0,14,Male
BAT,female,-0.2112822721300858,0.02079684038707019,0,32,-0.09877560652791573,0.05084470085604781,0,14,Female
BAT,male,-0.8148979309918125,0.06828198664460527,31,32,-0.3288450113215735,0.1512609070197452,5,14,Male
BLOOD,female,0.13962765512613942,0.037974219153514815,0,32,0.05526265094050682,0.08234308301834467,0,14,Female
BLOOD,male,0.4817325140734558,0.0947423955165018,10,32,0.6332461975270616,0.13919141610822602,4,14,Male
COLON,female,0.17768809782338546,0.008746965529423636,0,32,0.0743272302584498,0.021953813226671434,0,14,Female
COLON,male,0.09232464080768275,0.009010137092622448,0,32,0.05469766442933559,0.020000338138282184,0,14,Male
CORTEX,female,0.014968758190402777,0.008327765252209303,0,32,-0.00278239899682612,0.014697677116132245,0,14,Female
CORTEX,male,-0.026985269226931625,0.012322426653572326,0,32,0.012525863743465072,0.01228293504541154,0,14,Male
HEART,female,0.03222076797344657,0.012200113427566142,1,32,0.02836457754087144,0.02498923450577764,0,14,Female
HEART,male,-0.015774568967478295,0.006188351503910521,0,32,0.038962902873747415,0.021867516580502476,0,14,Male
HIPPOC,female,-0.013960455295631674,0.014362182108841723,0,32,-0.022268307693545437,0.00991420525340137,0,14,Female
HIPPOC,male,0.02050601019209309,0.014549477211953741,0,32,0.02719023920782966,0.024771647074291206,0,14,Male
HYPOTH,female,0.003957906608429804,0.017645522763468723,0,32,0.03275955408197278,0.015314383698629676,0,14,Female
HYPOTH,male,-0.03031835889942301,0.011900764230271033,0,32,-0.015606679845863416,0.03251531457783933,0,14,Male
KIDNEY,female,0.00361979731509901,0.011143891230526004,0,32,0.012069852341886577,0.024045757577352382,0,14,Female
KIDNEY,male,-0.008423887500042524,0.00951903588561965,0,32,-0.05874329706763505,0.019185423932364946,0,14,Male
LIVER,female,0.009715014058430314,0.008229304356182932,0,32,-0.0018300984285714286,0.03439421592163897,0,14,Female
LIVER,male,-0.026252617862468224,0.015101550220537685,0,32,0.0062828978571428575,0.04264428715856209,0,14,Male
LUNG,female,0.019651841907661817,0.01031886628463525,0,32,0.00737304586706585,0.011562281224018502,0,14,Female
LUNG,male,-0.017894963050508132,0.010925259114246872,0,32,-0.016167176180842346,0.021774194182240348,0,14,Male
OVARY,female,-0.002539950156469215,0.020022007563358327,0,32,0.01731224098125501,0.02381366945784825,0,14,Female
SKM-GN,female,0.17412858578467696,0.010867147149422718,0,32,0.009182243284189864,0.03332294130653746,0,14,Female
SKM-GN,male,0.16200693064120084,0.014780104242580677,2,32,0.05880047200442508,0.023107675200914078,0,14,Male
SKM-VL,female,0.25604066541716475,0.015208387149943653,6,32,0.06462566786873084,0.05647610237212698,1,14,Female
SKM-VL,male,0.13815596968786506,0.012114175833036834,0,32,0.11308438820742352,0.07554058600030122,0,14,Male
SMLINT,female,-0.002631575988883507,0.0071111157243128826,0,32,-0.009801120402394326,0.021801000640828225,0,14,Female
SMLINT,male,5.940355384343843e-4,0.006837892281633408,0,32,0.03267110327923098,0.016407596362116472,0,14,Male
SPLEEN,female,0.07853011706289,0.014032032025795713,0,32,0.1171593106886348,0.0334143818537813,0,14,Female
SPLEEN,male,0.05918086107935472,0.014663188996570469,0,32,0.10618958643413468,0.028265087338648687,0,14,Male
TESTES,male,-0.028661491662752683,0.03971020592298077,0,32,-0.016434719389841968,0.0244288423258661,0,14,Male
VENACV,female,0.13011862264529273,0.011557880367512747,0,32,0.10232424906770735,0.020441212510184915,0,14,Female
VENACV,male,-0.0212443914098216,0.011448020809266112,0,32,0.03509612568439312,0.03935234566736918,0,14,Male
WAT-SC,female,0.20197760023827882,0.018423968475569256,0,32,0.0895067637648761,0.05443164252016087,1,14,Female
WAT-SC,male,-0.04639102756036327,0.019264038233525488,0,32,-0.019457920670176775,0.03204677691294928,0,14,Male
