tissue,sex,ets_mean_lfc,ets_n_sig,gpx4_lfc,gpx4_adj_p,gpx4_p,gpx4_prot_lfc,gpx4_prot_adj_p,sex_label,trx_sig,point_size
ADRNL,female,-0.8114829479644754,0,-0.0854967386559891,1,0.357757944539071,NA,NA,Female,,2.5
ADRNL,male,0.15162038789088136,0,0.00297432029950078,1,0.976492372071021,NA,NA,Male,,2.5
BAT,female,-0.2524575728289585,0,-0.18099291154924,1,0.153156219537425,NA,NA,Female,,2.5
BAT,male,-0.9463064310623481,22,-0.748633626560826,1.12304196314043e-5,5.66122078433631e-10,NA,NA,Male,***,3.5
BLOOD,female,0.1807927952142018,0,0.391229860298971,1,0.0196892173755302,NA,NA,Female,,2.5
BLOOD,male,0.5181638891663131,6,1.10170483647737,2.94678500060306e-7,9.95495179090499e-12,NA,NA,Male,***,3.5
COLON,female,0.17913007822395677,0,0.0705662819749726,1,0.23890732033526,NA,NA,Female,,2.5
COLON,male,0.08506371591096515,0,0.0318444488645871,1,0.706881059751781,NA,NA,Male,,2.5
CORTEX,female,0.014630913077245476,0,0.0495802780511638,1,0.193459309854107,0.049618274216112,1,Female,,2.5
CORTEX,male,-0.031085490259037413,0,-0.0431972330020753,1,0.50149345011776,0.00822479561391916,1,Male,,2.5
HEART,female,0.0436317810347725,1,-0.0360568011052482,1,0.326124624825264,0.013416220260162,1,Female,,2.5
HEART,male,-0.005752734858865886,0,0.137678040295196,0.901459724618757,5.59096050161632e-4,0.0459635322070657,1,Male,,2.5
HIPPOC,female,-0.022634149005346514,0,-0.0315189164561017,1,0.542462822372135,NA,NA,Female,,2.5
HIPPOC,male,0.019343788209689808,0,-0.0189773648087768,1,0.71197058800364,NA,NA,Male,,2.5
HYPOTH,female,0.011548792193210483,0,0.0505606932328281,1,0.155770932608654,NA,NA,Female,,2.5
HYPOTH,male,-0.027262543194179402,0,0.0550224075811933,1,0.231162400667347,NA,NA,Male,,2.5
KIDNEY,female,0.010257883242526744,0,0.0256886484330293,1,0.418969318917531,-0.0402791492210093,1,Female,,2.5
KIDNEY,male,-0.008626817180602923,0,-0.0307446653819492,1,0.486450041268743,0.0429930573675599,1,Male,,2.5
LIVER,female,0.01879286832449962,0,0.02218289,1,0.7295538,0.0752229149963346,1,Female,,2.5
LIVER,male,-0.023721799262993747,0,0.02362828,1,0.6734472,0.0243951100382536,1,Male,,2.5
LUNG,female,0.026139190817526154,0,0.0771903537188804,1,0.0572982548807042,0.0193903962556933,1,Female,,2.5
LUNG,male,-0.002389783162331154,0,0.0470911264036805,1,0.259217467088603,0.0639786158445747,1,Male,,2.5
OVARY,female,-0.013488393587759114,0,-0.0152884397373191,1,0.900632468860175,NA,NA,Female,,2.5
SKM-GN,female,0.1797676092136089,0,0.0254070528143522,1,0.704087153331678,0.0579939868629871,1,Female,,2.5
SKM-GN,male,0.1698055771230063,1,0.0991271852654813,1,0.0525607921586325,0.027099088579165,1,Male,,2.5
SKM-VL,female,0.25973909329587624,2,-0.0710921246119327,1,0.190447735099459,NA,NA,Female,,2.5
SKM-VL,male,0.13395438213180208,0,0.0552918150845761,1,0.330360591567987,NA,NA,Male,,2.5
SMLINT,female,-0.0041056036374835046,0,-0.095815735172157,1,0.364646019759035,NA,NA,Female,,2.5
SMLINT,male,-0.0070269068074397855,0,0.00254359708939154,1,0.983567713900977,NA,NA,Male,,2.5
SPLEEN,female,0.07259779620241878,0,0.105253024444293,1,0.0186382468793121,NA,NA,Female,,2.5
SPLEEN,male,0.0689940528597638,0,0.0603527619477311,1,0.232133441392794,NA,NA,Male,,2.5
TESTES,male,0.013391959542428104,0,-0.0060472330496294,1,0.791434806603365,NA,NA,Male,,2.5
VENACV,female,0.1429167001151108,0,0.157486903990376,1,0.356670078367616,NA,NA,Female,,2.5
VENACV,male,-0.01555690902417812,0,0.0843063819390767,1,0.32394691906425,NA,NA,Male,,2.5
WAT-SC,female,0.1960043575450871,0,-0.118953123243758,1,0.325821857003451,0.0336108754301205,1,Female,,2.5
WAT-SC,male,-0.01826779058538645,0,-0.0384965593449077,1,0.362048054748389,0.0233535817250991,1,Male,,2.5
