"Gene Ensembl ID","Gene Symbol","MoTrPAC_EE_15_min_L2FC","MoTrPAC_EE_3_5_hr_L2FC","MoTrPAC_EE_24_hr_L2FC","MoTrPAC_RE_15_min_L2FC","MoTrPAC_RE_3_5_hr_L2FC","MoTrPAC_RE_24_hr_L2FC","Reitzner_EE_1h_L2FC","Reitzner_EE_3h_L2FC","Reitzner_EE_Post_L2FC","Reitzner_RE_1h_L2FC","Reitzner_RE_3h_L2FC","Reitzner_RE_Post_L2FC","MoTrPAC_EE_15_min_adjpval","MoTrPAC_EE_3_5_hr_adjpval","MoTrPAC_EE_24_hr_adjpval","MoTrPAC_RE_15_min_adjpval","MoTrPAC_RE_3_5_hr_adjpval","MoTrPAC_RE_24_hr_adjpval","Reitzner_EE_1h_adjpval","Reitzner_EE_3h_adjpval","Reitzner_EE_Post_adjpval","Reitzner_RE_1h_adjpval","Reitzner_RE_3h_adjpval","Reitzner_RE_Post_adjpval"
"ENSG00000167468","GPX4",-0.112728613351681,0.0467077741542354,0.050182844739231,-0.0304796150680557,0.0977661053731627,"0.0243156149706047",0.02880889,-0.1627656,-0.1581841,0.1818702,0.006879852,0.03243861,"0.060693535790914","0.527972249634612","0.504150307196018","0.761393929761783","0.0380944248202519","0.726366570963623","0.9569203","0.4075464","0.999556","0.832351","0.9919218","0.9972242"
"ENSG00000100348","TXN2",-0.106315587842547,0.01949796807975,0.122680214593567,-0.104447893630184,0.0188934653515531,"0.00886059600369293",0.04082929,-0.07118354,-0.07634581,0.05191058,-0.08678542,-0.02418706,"0.241928552861683","0.876974935006755","0.106633751628437","0.237687783098285","0.815957125878048","0.935032311904436","0.8949445","0.5789387","0.999556","0.9217827","0.7525308","0.9972242"
"ENSG00000001084","GCLC",-0.134854129600102,0.0548827647569508,-0.119925522753849,-0.0455850007419127,0.130399753282147,"-0.0939687092152908",-0.03303711,0.4083711,-0.09565282,0.08071819,0.2465873,0.09878623,"0.360203243034804","0.731912892529874","0.362735458361166","0.827303731885054","0.175006599105254","0.400543161202939","0.9349645","7.13627E-4","0.999556","0.8399982","0.1224279","0.9949157"
"ENSG00000184470","TXNRD2",-0.0765672654528844,-0.0837403606215288,0.0652481011902823,-0.0608810223798715,-0.16648974555675,"0.0477243073361127",-0.1173403,-0.2287802,-0.1444769,-0.1933469,-0.3668776,-0.01417747,"0.426602386824952","0.290356512225178","0.461022161725107","0.549520458394104","0.00283325726437931","0.52113382318036","0.7622131","0.1949256","0.999556","0.6897952","0.1335343","0.9972242"
"ENSG00000165672","PRDX3",-0.053708465186868,-0.0362636871222755,-0.0336828464893921,-0.0513614420847333,0.0770521443526793,"-0.0566447096669958",-0.02477233,0.05368448,-0.07934478,-0.09709815,0.0879737,-0.1169274,"0.562355338840741","0.673259653425285","0.721261155353865","0.570723746603813","0.143369136790956","0.34648353474717","0.9241483","0.601734","0.999556","0.7065718","0.5718455","0.9949157"
"ENSG00000110955","ATP5F1B",-0.0429725531775897,0.0180087961493651,0.186735306444149,-0.045270248980307,0.0400161523998008,"0.0480320567801105",0.0503278,0.1577059,0.009378581,-0.1026176,0.05060445,-0.1318553,"0.752512119608553","0.889841112687344","0.0068127524666614","0.723470882889227","0.596455754896447","0.567521058340799","0.8836572","0.2368707","0.999556","0.7113225","0.7903506","0.9866841"
"ENSG00000023909","GCLM",0.0832223909505743,0.0950707561682957,-0.207251426766889,0.0781440580012882,0.552004706301243,"-0.174038272069855",-0.004213469,0.05001702,-0.05828414,-0.224053,0.7072328,-0.1384544,"0.759309461822233","0.646027184994078","0.212367075091538","0.771634524510878","1.27226890931692e-06","0.21238207966414","0.9899358","0.7216874","0.999556","0.4786964","1.9e-05","0.9949157"
"ENSG00000112992","NNT",-0.0480541262664769,0.0559347150761056,0.119370237769571,-0.105693842204319,0.0219856395004889,"-0.106639355127914",0.05257495,0.1973537,-0.007728388,-0.03998582,0.04534216,-0.114717,"0.787719668989159","0.680900547214699","0.282403608230686","0.411193211667929","0.834156203660511","0.238268816872504","0.8828511","0.146799","0.999556","0.9322497","0.8581862","0.9949157"
"ENSG00000112096","SOD2",-0.00197489784039284,0.0512347744647297,-0.0088476316577335,-0.0404293330892163,0.26383003744651,"-0.12189791309045",0.1084602,0.2168841,0.001306654,0.04112729,0.309222,-0.1592527,"0.995987397986456","0.763405849311363","0.972560724482874","0.851866048728631","0.0032437663990627","0.260221656888474","0.6789124","0.09230329","0.999556","0.9340309","0.07294277","0.9949157"
