tissue,sex_label,export,import,sex,ets_mean,ets_n_sig,net_import
SKM-GN,Female,0.013732741844125998,-0.022024910290888502,female,0.1797676092136089,0,-0.0357576521350145
SKM-GN,Male,-0.212533332401558,-0.1647641210817526,male,0.1698055771230063,1,0.04776921131980541
SKM-VL,Female,-0.0493305590280921,0.43089541784228746,female,0.25973909329587624,2,0.48022597687037955
SKM-VL,Male,-0.1514172523592207,0.6651122887954475,male,0.13395438213180208,0,0.8165295411546682
HEART,Female,0.05215985735574695,0.05744744809109959,female,0.0436317810347725,1,0.005287590735352642
HEART,Male,0.07610695700742255,-0.040633295778321005,male,-0.005752734858865886,0,-0.11674025278574356
BAT,Female,-0.5016969174789205,0.0751660632928135,female,-0.2524575728289585,0,0.576862980771734
BAT,Male,0.10294042486542399,-0.4464937091952075,male,-0.9463064310623481,22,-0.5494341340606315
WAT-SC,Female,0.453129879093247,0.311538085439093,female,0.1960043575450871,0,-0.14159179365415397
WAT-SC,Male,-0.5401777545481545,0.14603311967544752,male,-0.01826779058538645,0,0.686210874223602
LIVER,Female,-0.043878450000000006,0.04332525000000001,female,0.01879286832449962,0,0.08720370000000002
LIVER,Male,-0.72421725,0.06574005,male,-0.023721799262993747,0,0.7899573
KIDNEY,Female,0.34158790382591253,-0.058112688289236394,female,0.010257883242526744,0,-0.3997005921151489
KIDNEY,Male,-0.1584229491434145,0.07251941478834059,male,-0.008626817180602923,0,0.2309423639317551
LUNG,Female,0.08063123353792005,-0.0232112259082373,female,0.026139190817526154,0,-0.10384245944615736
LUNG,Male,-0.05461306399158809,-0.07260685211061756,male,-0.002389783162331154,0,-0.017993788119029464
ADRNL,Female,-0.498304053192133,-1.51412021789309,female,-0.8114829479644754,0,-1.015816164700957
ADRNL,Male,-0.09928718591053987,0.34780923178415196,male,0.15162038789088136,0,0.44709641769469183
BLOOD,Female,-0.1382003663010461,0.0840514739868695,female,0.1807927952142018,0,0.22225184028791561
BLOOD,Male,0.4521926590795645,0.361188346734174,male,0.5181638891663131,6,-0.09100431234539053
CORTEX,Female,0.16739707531695494,-0.00319589175503837,female,0.014630913077245476,0,-0.1705929670719933
CORTEX,Male,-0.006335843502266899,-0.09919271572959384,male,-0.031085490259037413,0,-0.09285687222732694
HIPPOC,Female,0.2957520667706077,0.02762167579690765,female,-0.022634149005346514,0,-0.26813039097370006
HIPPOC,Male,0.17681635382038302,-0.11643930692883783,male,0.019343788209689808,0,-0.2932556607492208
HYPOTH,Female,0.11691224149630035,0.035472559447707816,female,0.011548792193210483,0,-0.08143968204859253
HYPOTH,Male,0.1344663119650663,-0.014285189242948755,male,-0.027262543194179402,0,-0.14875150120801506
VENACV,Female,0.1644914231988775,0.13266734002060676,female,0.1429167001151108,0,-0.031824083178270735
VENACV,Male,0.04085644024243851,0.0893095638354208,male,-0.01555690902417812,0,0.04845312359298229
COLON,Female,0.24543088254815548,-0.08555524454237246,female,0.17913007822395677,0,-0.33098612709052794
COLON,Male,0.06260784642135786,-0.06349526862706945,male,0.08506371591096515,0,-0.1261031150484273
SMLINT,Female,0.22459988977944423,0.02826215257195485,female,-0.0041056036374835046,0,-0.19633773720748937
SMLINT,Male,0.21805465222154413,-0.0307467832604901,male,-0.0070269068074397855,0,-0.24880143548203423
SPLEEN,Female,0.022991198470727704,0.126924826458108,female,0.07259779620241878,0,0.10393362798738029
SPLEEN,Male,0.02867043044663995,0.0635929070896192,male,0.0689940528597638,0,0.034922476642979254
OVARY,Female,0.445431976243843,0.10584080688998726,female,-0.013488393587759114,0,-0.33959116935385575
TESTES,Male,0.026830044244403935,-0.050835406596126495,male,0.013391959542428104,0,-0.07766545084053043
