canonical,sex_label,comparison_group,logFC,adj_p_value,p_value,sig_dot
Citrate,Female,1w,-0.077672179003593,1,0.456161498074026,
Citrate,Female,2w,-0.06833072722974749,1,0.316369115679605,
Citrate,Female,4w,-0.07585190783346767,1,0.326935015111471,
Citrate,Female,8w,0.033326187538048994,1,0.489275300225243,
Citrate,Male,1w,0.18515994757530663,1,0.236536216914617,
Citrate,Male,2w,0.02355039692241913,1,0.274227469714652,
Citrate,Male,4w,-0.05712788460200125,1,0.0390348478840882,
Citrate,Male,8w,-0.17190215086176197,1,0.198283448370408,
FAD,Female,1w,0.0570323622982687,1,0.552101180825597,
FAD,Female,2w,-0.0501703345596165,1,0.600588972885337,
FAD,Female,4w,-0.300516179677549,1,0.00430794175266843,
FAD,Female,8w,-0.211034812812623,1,0.0359205338361073,
FAD,Male,1w,-0.0661861531679164,1,0.527681597740018,
FAD,Male,2w,-0.156068024595041,1,0.144462548744424,
FAD,Male,4w,-0.0321914076928516,1,0.757888040417899,
FAD,Male,8w,-0.102439276705947,1,0.33139817393534,
Fumarate,Female,1w,-0.012368714230908198,1,0.373007791129207,
Fumarate,Female,2w,-0.1689311064737956,1,0.205251414747534,
Fumarate,Female,4w,-0.027854084390996903,1,0.384571827184412,
Fumarate,Female,8w,-0.025790059146032995,1,0.27135377154595,
Fumarate,Male,1w,-0.16217649586196348,1,0.256686882060473,
Fumarate,Male,2w,-0.1455424561981573,1,0.0716166467486277,
Fumarate,Male,4w,-0.19146586208154154,1,0.10961542342695,
Fumarate,Male,8w,-0.03794820280276073,1,0.673517160718676,
Lactate,Female,1w,0.16663774469531534,1,0.281105677680547,
Lactate,Female,2w,-0.0058895856675968954,1,0.981637434717449,
Lactate,Female,4w,0.18694471521518777,1,0.270367579549233,
Lactate,Female,8w,-0.0658881023753397,1,0.390138461527713,
Lactate,Male,1w,-0.05508746615648501,1,0.12546684081732,
Lactate,Male,2w,0.16600128899194266,1,0.120126849679544,
Lactate,Male,4w,-0.0572475247313885,1,0.270226801769746,
Lactate,Male,8w,0.09827423273633262,1,0.407931242818538,
Malate,Female,1w,0.14919074418724088,0.870403130359352,0.00227237927937234,
Malate,Female,2w,0.014488621276883374,1,0.187632268149144,
Malate,Female,4w,0.12782439390017708,1,0.0446221342536226,
Malate,Female,8w,-0.030159642699094335,1,0.264933163705517,
Malate,Male,1w,0.11021564255953133,1,0.202630633435905,
Malate,Male,2w,0.13889005467590684,1,0.183300155599313,
Malate,Male,4w,-0.03328660221426169,1,0.14053225482895,
Malate,Male,8w,0.051099962272903574,1,0.405473840066582,
NAD+,Female,1w,-0.0659634383378664,1,0.532258938886187,
NAD+,Female,2w,-0.0462698792732485,1,0.660589077134296,
NAD+,Female,4w,-0.0910004482830127,1,0.3908044342883,
NAD+,Female,8w,-0.0980310236825268,1,0.355895779419086,
NAD+,Male,1w,0.121412646181768,1,0.387787811905029,
NAD+,Male,2w,0.128408615206133,1,0.3615173653191,
NAD+,Male,4w,0.109340140793386,1,0.435967476923804,
NAD+,Male,8w,0.0479590255404982,1,0.731116614758231,
NADH,Female,1w,0.275689073715955,1,0.29122148064206,
NADH,Female,2w,-0.0199617542323152,1,0.938296288629012,
NADH,Female,4w,0.0248636533698594,1,0.923189244380969,
NADH,Female,8w,-0.00572096072716372,1,0.982298619799231,
NADH,Male,1w,0.588524939693449,1,0.0205738167402454,
NADH,Male,2w,0.555994009189136,1,0.0277113782013409,
NADH,Male,4w,-0.0908692043308286,1,0.703724186926882,
NADH,Male,8w,-0.122340663328425,1,0.609129407449733,
NADP+,Female,1w,-0.100489010052639,1,0.403284644524933,
NADP+,Female,2w,-0.157080402520831,1,0.196449501680814,
NADP+,Female,4w,-0.265026539500062,1,0.0349530714753221,
NADP+,Female,8w,-0.253811716164082,1,0.042583450519916,
NADP+,Male,1w,0.146216229624821,1,0.290046204370738,
NADP+,Male,2w,-6.85302500613716e-6,1,0.999959915751242,
NADP+,Male,4w,-0.0803554427261814,1,0.557389547290968,
NADP+,Male,8w,-0.0478929052473669,1,0.72589314450707,
NADPH,Female,1w,0.0447728334428108,1,0.914470268561195,
NADPH,Female,2w,-0.175006436622265,1,0.675207582964747,
NADPH,Female,4w,0.65482344893965,1,0.126328312224268,
NADPH,Female,8w,-0.748508762908039,1,0.0829674616115632,
NADPH,Male,1w,-0.191405826008848,1,0.625861379071702,
NADPH,Male,2w,0.0783538553858838,1,0.841445040431907,
NADPH,Male,4w,0.18237439054658,1,0.642166174631934,
NADPH,Male,8w,-0.117768084090913,1,0.763796610336049,
Pyruvate,Female,1w,0.1711365468994,1,0.429406459173151,
Pyruvate,Female,2w,0.134401146255172,1,0.533746750287762,
Pyruvate,Female,4w,0.00302445539622487,1,0.988776849770273,
Pyruvate,Female,8w,-0.0386326280412711,1,0.857457291607676,
Pyruvate,Male,1w,0.253458364911335,1,0.347504981987792,
Pyruvate,Male,2w,0.519410157522244,1,0.0618898228122387,
Pyruvate,Male,4w,-0.01627713865226,1,0.951398935045465,
Pyruvate,Male,8w,-0.108534373039845,1,0.684997725410369,
Succinate,Female,1w,-0.6897438193759117,0.00253674217804852,1.54360476234256e-7,●
Succinate,Female,2w,-0.892512226117826,0.00373116654747887,2.86504200794651e-7,●
Succinate,Female,4w,-0.711815540442403,0.00184297504224463,1.00129307184425e-7,●
Succinate,Female,8w,-0.18678874433761825,1,0.0757237838371798,
Succinate,Male,1w,-0.727192547363123,0.0122606323642999,1.4743529127942e-6,●
Succinate,Male,2w,-0.7492360132416837,0.00264408775345467,1.66638601082908e-7,●
Succinate,Male,4w,-0.1587702974312399,1,0.0871749027966055,
Succinate,Male,8w,-0.137795671209804,1,0.604169854222848,
