framework_category,sex_label,r,pval,n,sig,label
fission,Female,0.05025565629720957,0.8430185674790435,18,,r=0.05
fission,Male,0.30624699488754414,0.21646498145400073,18,,r=0.31
fusion,Female,0.0805735486321413,0.7506212662143419,18,,r=0.08
fusion,Male,-0.07701570909752863,0.7613233569704378,18,,r=-0.08
mitophagy,Female,0.2128859503772853,0.39635878261245594,18,,r=0.21
mitophagy,Male,0.7412155845687124,4.319016789392052e-4,18,***,r=0.74***
biogenesis,Female,0.6138041621830042,0.0067372198858222,18,**,r=0.61**
biogenesis,Male,0.6022310688994076,0.008175668776820676,18,**,r=0.60**
mito_upr,Female,0.31863878588584943,0.19749399678889204,18,,r=0.32
mito_upr,Male,0.8026789765895961,6.09221373259299e-5,18,***,r=0.80***
integrated_stress,Female,0.251595344333157,0.3138780106405512,18,,r=0.25
integrated_stress,Male,-0.2001569701910734,0.4258358253240033,18,,r=-0.20
ampk_axis,Female,0.6787772720693909,0.0019533709412079326,18,**,r=0.68**
ampk_axis,Male,0.32021148793397475,0.19516756720197592,18,,r=0.32
calcium,Female,0.755174506521912,2.9089290444307876e-4,18,***,r=0.76***
calcium,Male,0.7978243183165508,7.27915804674898e-5,18,***,r=0.80***
mito_derived_signals,Female,-0.00673156259541786,0.9810046233347713,15,,r=-0.01
mito_derived_signals,Male,-0.4471175588962821,0.094721800187882,15,,r=-0.45
