sex,tissue_left_out,slope,r_squared,p_vs1
Male,ADRNL,0.654622698782418,0.7175617592539877,0.0026533801339700108
Male,BAT,1.2202001831387668,0.8547695202867116,0.9446954795894
Male,BLOOD,0.44600119288037443,0.9005500423895254,1.6006628800981243e-10
Male,COLON,0.6557063102807421,0.7204847385376112,0.0026105022912913437
Male,CORTEX,0.6503482792863794,0.7159658426885044,0.002399997258894811
Male,HEART,0.6508463346648944,0.7164597444731245,0.0024159207286135833
Male,HIPPOC,0.6512229064643522,0.7175365128416573,0.002399675485427912
Male,HYPOTH,0.6493063388659589,0.7171795489742421,0.002279532325600857
Male,KIDNEY,0.6497149365100613,0.7288480854530246,0.0018861497069945028
Male,LIVER,0.6501091695165714,0.7163783338479871,0.0023665832570180607
Male,LUNG,0.649841335893943,0.719097290757187,0.002242615999940285
Male,SKM-GN,0.6671810051505421,0.7311955361354792,0.0030657272076578643
Male,SKM-VL,0.6533535023028633,0.7138573455499618,0.002715878681396347
Male,SMLINT,0.6506802610652838,0.716445418501928,0.0024045647878133984
Male,SPLEEN,0.6488829846913675,0.7149230882974577,0.0023376246673762983
Male,TESTES,0.6497420014076944,0.7188671071694304,0.0022446613645157832
Male,VENACV,0.6508875958551259,0.7164225199085957,0.0024203939467519176
Male,WAT-SC,0.6489889531628512,0.7164649399303583,0.0022852491901488043
Female,ADRNL,0.37855849775439926,0.6160094374147217,3.970103104293909e-7
Female,BAT,0.115356421526399,0.2804433258070227,4.709269911386915e-12
Female,BLOOD,0.14746370047798232,0.32308406001548273,6.279697979060086e-11
Female,COLON,0.14335754286420288,0.31009059789608096,6.017121839617356e-11
Female,CORTEX,0.1494854389260108,0.3381095135527391,4.8676936555961165e-11
Female,HEART,0.1497153436631361,0.33304450560725246,5.867147724252739e-11
Female,HIPPOC,0.1478606823174999,0.34217425134732055,3.5662317541583086e-11
Female,HYPOTH,0.1497720824143566,0.33366811125280454,5.788058564853771e-11
Female,KIDNEY,0.14942837889373245,0.33290591916606344,5.707666608919566e-11
Female,LIVER,0.14934695543137413,0.33703819388514333,4.9587521998950377e-11
Female,LUNG,0.14995164349022355,0.3365393355879293,5.3893115582434545e-11
Female,OVARY,0.1495924787923847,0.3328234341096104,5.828373920410404e-11
Female,SKM-GN,0.1593884636198619,0.3658824391147717,6.017703046772078e-11
Female,SKM-VL,0.14794391255983122,0.3094538854074985,1.0349088482938928e-10
Female,SMLINT,0.1485881122062422,0.33728430284033173,4.5192855816126605e-11
Female,SPLEEN,0.14290262455256247,0.3738140478083686,7.526470069251183e-12
Female,VENACV,0.1393589948352252,0.3273299856126465,2.1406107688564166e-11
Female,WAT-SC,0.13888020388395123,0.2999242590907023,5.006767254748551e-11
