tissue,sex,buf_mean,ets_mean,buf_se,ets_se,sex_label
SKM-GN,female,5.373828142857143,7.6626759062500005,0.5928432355079518,0.24296415044427766,Female
SKM-GN,male,5.367800714285714,7.7509406875,0.6052270033217891,0.24246552783215242,Male
SKM-VL,female,5.305755571428572,7.8580318125,0.6073994274031891,0.24982884213260767,Female
SKM-VL,male,5.294638285714286,7.76234778125,0.5811034738997963,0.24325432659483429,Male
HEART,female,6.065952428571428,8.51699234375,0.6398966478751502,0.24081483119557492,Female
HEART,male,6.0553868571428575,8.5745665,0.645868560444616,0.2411835717333719,Male
BAT,female,5.988436285714286,7.9630984375,0.48143031243667334,0.27838249606706256,Female
BAT,male,6.014772714285715,8.3165516875,0.4823001450898569,0.29328864218483103,Male
WAT-SC,female,5.399446,6.1549397812499995,0.3553952315475959,0.2350337998959119,Female
WAT-SC,male,6.268579285714286,6.780961375,0.47879487093177614,0.22433611516883728,Male
LIVER,female,6.3813061428571425,6.36628728125,0.47079457768519234,0.23002620019456052,Female
LIVER,male,6.404174285714285,6.51054703125,0.47477153690757007,0.2242591056854721,Male
KIDNEY,female,7.582064285714286,7.5724401875,0.5302910332197485,0.23698456047024466,Female
KIDNEY,male,7.775231285714286,7.69125365625,0.5759153829883137,0.22887050557872257,Male
LUNG,female,5.427281428571429,5.79031609375,0.41890461029272813,0.21612120185438674,Female
LUNG,male,5.42431,5.828349125,0.4243704564002573,0.21690817126736817,Male
ADRNL,female,7.038095428571428,7.3918096875,0.5051781287039792,0.24326738204722753,Female
ADRNL,male,6.905977857142857,6.7527228125,0.5372611216246556,0.2593798978254102,Male
BLOOD,female,5.016467428571429,4.69352940625,0.7598248450460761,0.3296133702196043,Female
BLOOD,male,4.9484958571428574,4.67540015625,0.7737458654334801,0.31143108602745506,Male
CORTEX,female,5.1559677142857145,6.62430834375,0.3363166935792537,0.2168286062474946,Female
CORTEX,male,5.1433665714285715,6.63071984375,0.33689960529226615,0.21676642138722593,Male
HIPPOC,female,5.223631285714285,6.6559765625,0.33846468431495524,0.21322144052583256,Female
HIPPOC,male,5.197400285714286,6.65076428125,0.34836201420247087,0.21465300223447292,Male
HYPOTH,female,5.417637428571429,6.6013498749999995,0.3606853130035965,0.21636881843852027,Female
HYPOTH,male,5.450862428571429,6.604350125,0.35419974281486677,0.2150702555497467,Male
VENACV,female,5.747313428571428,7.23584253125,0.4346965449814756,0.22055303838903934,Female
VENACV,male,5.585712571428571,6.9762360625,0.4242867747433671,0.21904977952353744,Male
COLON,female,6.020322,7.215436625,0.35738098406657787,0.22263178296954614,Female
COLON,male,6.080325571428571,7.3426826875,0.36545124419136804,0.21963389497876964,Male
SMLINT,female,6.198936857142857,7.73606134375,0.3519250035467699,0.22458210874723314,Female
SMLINT,male,6.260400857142857,7.8705525625,0.362009904926402,0.22363194655832058,Male
SPLEEN,female,5.692958285714286,6.16046665625,0.39184415669261624,0.2230511737741124,Female
SPLEEN,male,5.754467142857143,6.22339228125,0.37302490259632587,0.2180942380736406,Male
OVARY,female,6.250592571428571,6.6989579375,0.40257467900483135,0.22826146993863025,Female
TESTES,male,4.7624821428571424,5.78306334375,0.5976813631927772,0.31710845267782595,Male
