tissue,sex,r_all,p_all,n_all,r_ets,p_ets,n_ets,sex_label
CORTEX,female,0.1967655625551734,0.061567763481906936,91,0.3162786992214347,0.1080024945216969,27,Female
SKM-GN,female,0.6448755435937412,6.9032078229660376e-12,90,0.18357871104135826,0.3693468306058223,26,Female
WAT-SC,female,0.07462300452321265,0.4747239506863268,94,-0.049535174801658324,0.8061751861495035,27,Female
LIVER,female,0.13426011676985442,0.20197102006092293,92,-0.07478648609215174,0.7108358736430344,27,Female
HEART,female,0.2602597368400241,0.01085993900654641,95,-0.14937740155313284,0.4570899462895518,27,Female
LUNG,female,-0.10756199785366478,0.30212070630834653,94,-0.22063398318689584,0.2687710073928515,27,Female
KIDNEY,female,0.9233184973289791,5.1861209124228296e-40,94,-0.26963182356962007,0.17379837091003714,27,Female
SKM-GN,male,0.5243624238422679,1.1296516288118043e-7,90,0.5768332808215779,0.0020364878261685477,26,Male
CORTEX,male,0.051390476325969846,0.6285442552218082,91,0.2723748605080741,0.16929193891133984,27,Male
HEART,male,0.4315807913931282,1.2615209923354667e-5,95,0.2012477822198032,0.3141370518226226,27,Male
LUNG,male,0.43476948476895894,1.1939269670905812e-5,94,-0.09061632442284297,0.6530690660207568,27,Male
LIVER,male,0.3573360163715075,4.7090241016722705e-4,92,-0.10765366265535019,0.5930143523219419,27,Male
KIDNEY,male,0.8527436688818107,1.0895296852933172e-27,94,-0.11851556537451345,0.5560181439593261,27,Male
WAT-SC,male,0.03158516194652423,0.7624938246876738,94,-0.17013854172896506,0.39619069416478425,27,Male
