buffering_gene,ets_gene,sex,n_with_BAT,r_with_BAT,p_with_BAT,n_without_BAT,r_without_BAT,p_without_BAT
Txnrd2,Atp5f1b,male,18,0.8966693326289475,4.704553319871599e-7,17,0.8415026819268685,2.2937390878849867e-5
Txnrd2,Cox4i1,male,18,0.8758167393568128,1.91267513223099e-6,17,0.8049305749824828,9.722068036272882e-5
Txnrd2,Ndufv1,male,18,0.5804923546227218,0.011542418726572879,17,-0.2271855429040408,0.3805359800535518
Txnrd2,Ndufs1,male,18,0.49628447081482496,0.03618525949168626,17,-0.430199194499753,0.084769834440508
Txnrd2,Uqcrc1,male,18,0.849869142425818,8.012351723541412e-6,17,0.7287998666106117,9.045003227965492e-4
Nnt,Atp5f1b,male,18,-0.7574792708584883,2.7184781029617903e-4,17,-0.6752309677758445,0.002936418000371993
Nnt,Cox4i1,male,18,-0.7284342046471977,6.074880946811532e-4,17,-0.5804010295079564,0.01457773907468799
Nnt,Ndufv1,male,18,-0.7911235547872941,9.236080089796132e-5,17,0.4970857595132964,0.042351422193246405
Nnt,Ndufs1,male,18,-0.7449957157149762,3.8900883507310007e-4,17,0.5602858551464374,0.01932166324461228
Nnt,Uqcrc1,male,18,-0.8872293403383126,9.181415311443094e-7,17,-0.5027715383767354,0.03968618106197231
